scenario,controller,repeat,status,route_completed,collision_proxy,static_collision,min_gt_distance,travel_time,observed_duration,path_length,stop_count,stop_duration,max_lateral_displacement,passing_side,side_switches,sustained_moving_pass_s,return_to_route,route_reference_heading_rad,interaction_start_s,interaction_end_s,passing_clearance_m,overtaking_duration_s,active_passing_success,yielding_success,overtaking_success,functional_pass,scenario_pass,behavior_label,integrated_social_cost,min_social_norm,personal_space_violation_s,social_lt_1_5_s,direction_switches,omega_variation,yolo_responses_s,rtf,resume,first_detection_time,first_detection_response_time,first_reaction_time,first_non_cruise_time,detection_to_reaction_latency,first_visible_time,visibility_review_complete,source_run
blind_corner,baseline,17,VALID,True,True,False,0.1825076408675592,29.31666819564998,29.31666819564998,8.70713888888885,0,0.0,0.0,NONE,0,0.0,True,0.0,9.600000500679016,20.783334417268634,-0.7202719571073244,,,,,False,False,FAIL,3.199522223441264,0.20346648447076454,2.7000001408159733,3.9000002034008503,0,0.0,5.505479008664642,0.6269573088972101,False,6.266666638851166,6.416667001321912,,,,5.9667,True,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\blind_corner\baseline\seed_17\run_01
blind_corner,baseline,23,VALID,True,True,False,0.1825076408675592,29.31666819564998,29.31666819564998,8.70713888888885,0,0.0,0.0,NONE,0,0.0,True,0.0,9.600000500679016,20.783334417268634,-0.7202719571073244,,,,,False,False,FAIL,3.199522223441264,0.20346648447076454,2.7000001408159733,3.9000002034008503,0,0.0,5.654547034719955,0.627948843520697,False,6.266666638851166,6.516667006537318,,,,5.9667,True,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\blind_corner\baseline\seed_23\run_01
blind_corner,baseline,31,VALID,True,True,False,0.1825076408675592,29.31666819564998,29.31666819564998,8.70713888888885,0,0.0,0.0,NONE,0,0.0,True,0.0,9.600000500679016,20.783334417268634,-0.7202719571073244,,,,,False,False,FAIL,3.199522223441264,0.20346648447076454,2.7000001408159733,3.9000002034008503,0,0.0,5.461728999437808,0.6178129394984142,False,6.366666638851166,6.516667006537318,,,,5.9667,True,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\blind_corner\baseline\seed_31\run_01
blind_corner,social_nav,17,VALID,True,True,False,0.1825076408675592,30.800001606345177,30.800001606345177,8.70291666666667,0,0.0,0.0,NONE,0,0.0,True,0.0,9.600000500679016,20.783334417268634,-0.7202719571073244,,,,,False,False,FAIL,3.1995222398235077,0.20346648447076454,2.7000001408159733,3.9000002034008503,0,0.0,5.615017426920927,0.6243138346045916,True,6.266666638851166,6.416667001321912,,28.21666813828051,,5.9667,True,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\blind_corner\social_nav\seed_17\run_01
blind_corner,social_nav,23,VALID,True,True,False,0.1825076408675592,30.800001606345177,30.800001606345177,8.70291666666667,0,0.0,0.0,NONE,0,0.0,True,0.0,9.600000500679016,20.783334417268634,-0.7202719571073244,,,,,False,False,FAIL,3.1995222398235077,0.20346648447076454,2.7000001408159733,3.9000002034008503,0,0.0,5.625333950473288,0.6129932332176743,True,6.266666638851166,6.416667001321912,,28.21666813828051,,5.9667,True,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\blind_corner\social_nav\seed_23\run_01
blind_corner,social_nav,31,VALID,True,True,False,0.1825076408675592,30.800001606345177,30.800001606345177,8.70291666666667,0,0.0,0.0,NONE,0,0.0,True,0.0,9.600000500679016,20.783334417268634,-0.7202719571073244,,,,,False,False,FAIL,3.1995222398235077,0.20346648447076454,2.7000001408159733,3.9000002034008503,0,0.0,5.368988170354419,0.6222714529049551,True,6.266666638851166,6.416667001321912,,28.21666813828051,,6.0667,True,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\blind_corner\social_nav\seed_31\run_01
crossing,baseline,17,VALID,True,True,False,0.054636683626415994,29.31666819564998,29.31666819564998,8.70713888888885,0,0.0,0.0,NONE,0,0.0,True,0.0,8.750000456348062,20.766667749732733,-0.8481429143484676,,,False,,False,False,FAIL,3.157828211352567,0.06991252597078623,2.600000135600567,3.9000002034008503,0,0.0,4.948068459832028,0.5148073710366917,False,0.06666663885116575,0.2166666779667139,,,,,False,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\crossing\baseline\seed_17\run_01
crossing,baseline,23,VALID,True,True,False,0.054636683626415994,29.31666819564998,29.31666819564998,8.70713888888885,0,0.0,0.0,NONE,0,0.0,True,0.0,8.750000456348062,20.766667749732733,-0.8481429143484676,,,False,,False,False,FAIL,3.157828211352567,0.06991252597078623,2.600000135600567,3.9000002034008503,0,0.0,6.410825774484777,0.6669956953766173,False,0.06666663885116575,0.2166666779667139,,,,,False,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\crossing\baseline\seed_23\run_01
crossing,baseline,31,VALID,True,True,False,0.054636683626415994,29.31666819564998,29.31666819564998,8.70713888888885,0,0.0,0.0,NONE,0,0.0,True,0.0,8.750000456348062,20.766667749732733,-0.8481429143484676,,,False,,False,False,FAIL,3.157828211352567,0.06991252597078623,2.600000135600567,3.9000002034008503,0,0.0,6.517949078279549,0.664887456939734,False,0.06666663885116575,0.2166666779667139,,,,,False,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\crossing\baseline\seed_31\run_01
crossing,social_nav,17,VALID,True,True,False,0.054636683626415994,30.800001606345177,30.800001606345177,8.70291666666667,0,0.0,0.0,NONE,0,0.0,True,0.0,8.750000456348062,20.766667749732733,-0.8481429143484676,,,False,,False,False,FAIL,3.157828214145345,0.06991252597078623,2.600000135600567,3.9000002034008503,0,0.0,5.888495364678196,0.6210374856418613,True,0.06666663885116575,0.2166666779667139,,28.21666813828051,,,False,D:\detection\robot_human_isaac6\outputs\classic_single_pedestrian\benchmark\crossing\social_nav\seed_17\run_01
