scenario,controller,seed,route_completed,collision_proxy,static_collision,min_gt_distance,personal_space_violation_s,personal_space_violation_fraction,integrated_social_cost,mean_social_cost,min_social_norm,travel_time,observed_duration,path_length,stop_count,stop_duration,steering_time,avoid_time,direction_switches,omega_variation,control_effort,yolo_responses_s,rtf,resume,max_tracks,gpu_peak_mib,ram_peak_gib,source_run,repeated_exposures_skipped,physical_human_count,min_human_walk_distance_m,functional_pass,planner_p95_ms,max_planned_humans,group_plan_count,social_changes_argmin,no_safe_plans,commitment_plans,commitment_violations,held_opposite_plans
frontal,baseline,31,True,False,False,1.4863186500951866,0.0,0.0,0.6508771501054678,0.02221423604640208,1.708396506355506,29.31666819564998,29.30000152811408,8.249388888888882,0,0.0,3.866666868329048,1.3500000704079866,2,2.0125957168151727,0.38848598552304336,6.340869967685642,0.6385045707754899,True,2,3532.0,14.06991195678711,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\frontal\baseline\seed_31\run_01,1,1,7.98056001596354,True,,,,,,,,
frontal,social_nav,17,True,False,False,1.29592580380665,0.0,0.0,0.8763351150399096,0.024581628873365333,1.6065518003530166,35.66666852682829,35.65000185929239,8.202333333333227,2,4.400000229477882,0.0,0.0,0,0.0,0.0,6.246504493004623,0.6393614533720379,True,2,3500.0,14.076637268066406,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\frontal\social_nav\seed_17\run_01,7,1,8.010671337121797,True,2.46579999984533,2,6,3,24,0,0,0
frontal,social_nav,23,True,False,False,1.2817239048854767,0.0,0.0,0.9112802715162666,0.026061398207510942,1.5822996865985859,34.983335157856345,34.966668490320444,8.203333333333227,2,3.58333352021873,0.0,0.0,0,0.0,0.0,6.3976610912424015,0.6518094904438643,True,1,3383.0,14.14935302734375,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\frontal\social_nav\seed_23\run_01,5,1,7.713819624662063,True,2.0816950000153156,1,0,4,15,0,0,0
frontal,social_nav,31,True,False,False,1.2844618922771236,0.0,0.0,0.9161238853420663,0.026199919091396136,1.5829192712523883,34.983335157856345,34.966668490320444,8.203333333333227,2,3.58333352021873,0.0,0.0,0,0.0,0.0,7.570326140901663,0.7691645871233351,True,1,3322.0,13.68777847290039,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\frontal\social_nav\seed_31\run_01,4,1,7.713819624662063,True,2.2372699997504246,1,0,4,15,0,0,0
obstruction,baseline,17,True,False,False,1.0457739913276285,0.0,0.0,3.307218952395232,0.09140171662580372,1.3066566678746634,36.20000188797712,36.18333522044122,8.34897222222223,2,4.300000224262476,5.1333336010575294,3.316666839644313,4,3.025787972139197,0.7324727301032666,7.184671349138471,0.7397694335606586,True,2,3463.0,14.15549087524414,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\obstruction\baseline\seed_17\run_01,9,1,4.352269177900322,True,,,,,,,,
obstruction,baseline,23,True,False,False,1.0458757277523532,0.0,0.0,3.305612220026479,0.09139941145507952,1.3067275866216255,36.18333522044122,36.16666855290532,8.345972222222214,2,4.283333556726575,5.1500002685934305,3.333333507180214,4,3.0088711488412,0.7347492275589063,6.885378998498452,0.7010846270337421,True,2,3625.0,13.86761474609375,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\obstruction\baseline\seed_23\run_01,5,1,4.352269177900322,True,,,,,,,,
obstruction,baseline,31,True,False,False,1.0523735998591528,0.0,0.0,3.273504640094802,0.0903866857625837,1.3148337743457115,36.233335223048925,36.216668555513024,8.346972222222224,2,4.250000221654773,5.166666936129332,3.4666668474674225,4,2.990162751149523,0.7303495607311432,7.083555779257326,0.7145856554574758,True,2,3341.0,13.163749694824219,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\obstruction\baseline\seed_31\run_01,2,1,4.352269177900322,True,,,,,,,,
obstruction,social_nav,17,True,False,False,1.253589317469107,0.0,0.0,2.7151417594522003,0.07757547479561515,1.2042191946761407,35.01666849292815,35.000001825392246,8.20336111111101,2,2.600000135600567,0.0,0.0,0,0.0,0.0,7.362879975695653,0.7508244847976668,True,2,3407.0,14.365715026855469,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\obstruction\social_nav\seed_17\run_01,6,1,4.352269177900323,True,2.1686400003090975,2,7,11,8,0,0,0
obstruction,social_nav,23,True,False,False,1.254120247064869,0.0,0.0,2.6326953024852116,0.07518405992897075,1.2242962476793524,35.03333516046405,35.01666849292815,8.203444444444344,3,2.400000125169754,0.0,0.0,0,0.0,0.0,6.860466502222878,0.697983395740546,True,2,3490.0,15.039047241210938,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\obstruction\social_nav\seed_23\run_01,5,1,4.352269177900323,True,2.3046000005706446,2,9,11,8,0,0,0
obstruction,social_nav,31,True,False,False,1.254034119956784,0.0,0.0,2.6599821158503953,0.07571106196740582,1.2183009866514247,35.150001833215356,35.133335165679455,8.202527777777675,2,2.5000001303851604,0.0,0.0,0,0.0,0.0,6.9370024828474275,0.7002979773869216,True,2,3341.0,13.56155776977539,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\obstruction\social_nav\seed_31\run_01,2,1,4.352269177900322,True,2.2220849997211176,2,8,11,8,0,0,0
perpendicular,baseline,17,True,False,False,0.9574504705543927,0.0,0.0,1.7365420901377346,0.05102474043790436,1.19177657242688,34.050001775845885,34.033335108309984,8.313138888888897,1,2.3333334550261497,8.066667087376118,2.350000122562051,8,4.4021817926736935,0.7842844624726188,6.250659992893961,0.6401599559546328,True,2,3352.0,13.492813110351562,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\perpendicular\baseline\seed_17\run_01,7,1,7.619547188899075,True,,,,,,,,
perpendicular,baseline,23,True,False,False,0.9568853355265896,0.0,0.0,1.7384687356174555,0.051081350977940754,1.1915676409981597,34.050001775845885,34.033335108309984,8.313000000000006,1,2.3333334550261497,8.066667087376118,2.366666790097952,8,4.368845401426493,0.7945654202752825,6.307427389163183,0.6423242068877618,True,2,3342.0,13.619956970214844,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\perpendicular\baseline\seed_23\run_01,5,1,7.619547188899075,True,,,,,,,,
perpendicular,baseline,31,True,False,False,0.9574504705543927,0.0,0.0,1.7365420901377346,0.05102474043790436,1.19177657242688,34.050001775845885,34.033335108309984,8.313138888888897,1,2.3333334550261497,8.066667087376118,2.350000122562051,8,4.4021817926736935,0.7842844624726188,6.156642346175376,0.6323275446013052,True,2,3371.0,14.111522674560547,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\perpendicular\baseline\seed_31\run_01,8,1,7.619547188899075,True,,,,,,,,
perpendicular,social_nav,17,True,False,False,1.1058559286542582,0.0,0.0,1.429678062753749,0.043609903045965376,1.3753247359110286,32.800001710653305,32.783335043117404,8.20261111111104,1,1.433333408087492,1.0666667222976685,0.5666666962206364,1,0.8682666447175297,0.027029767535771996,6.017059996775931,0.6158638200251007,True,2,3400.0,13.695735931396484,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\perpendicular\social_nav\seed_17\run_01,6,1,7.618740066681902,True,2.389639999364589,2,28,7,0,12,0,6
perpendicular,social_nav,23,True,False,False,1.1019550101739009,0.0,0.0,1.448499459534187,0.04396052758692131,1.3678853897276309,32.966668386012316,32.950001718476415,8.203222222222106,1,1.433333408087492,0.0,0.0,0,0.0,0.0,6.176246218085321,0.6314700410011251,True,2,3379.0,13.63357162475586,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\perpendicular\social_nav\seed_23\run_01,6,1,7.61954138323021,True,2.1208049995948386,2,25,7,0,0,0,0
perpendicular,social_nav,31,True,False,False,1.1021033812382883,0.0,0.0,1.4462762392704809,0.04395976181888453,1.367512536000344,32.91666838340461,32.90000171586871,8.203222222222106,1,1.3833334054797888,0.0,0.0,0,0.0,0.0,5.741713076482853,0.582795035009061,True,2,3467.0,13.85028076171875,D:\detection\robot_human_isaac6\outputs\social_navigation\benchmark\perpendicular\social_nav\seed_31\run_01,4,1,7.619521986855554,True,2.6870599998801477,2,28,7,0,0,0,0
